,01_KOR,02_CHN,03_JPN,04_RUS,05_MNG,06_PRK,07_NAM,08_LAM,09_WEU,10_EEU,11_RFSU,12_MEA,13_AFR,14_RCPA,15_SAS,16_RPAS,17_RPAO
01_AGRICULT,1394.918,182943.0404,2180.45,4131.296,330.051,6849.611337,3013.744988,40613.02879,10134.68872,5659.722503,14012.4929,26036.11204,203725.3395,24335.92572,260012.2368,74893.6574,487.9955378
02_COAL,0.302986944,3842.318332,0.110286503,166.5880944,27.19160082,13.39930848,102.5409233,59.39980862,51.57450286,246.9178979,366.6398917,5.603514931,556.3692352,180.6605162,1717.720738,438.8743081,65.25509383
03_OIL,0.128030212,631.6252498,0.17236412,343.7786658,0.847838458,0.10277344,266.1227408,993.1636091,75.3815371,60.54665256,1464.522502,3685.450774,409.6384304,56.49894212,489.4863353,645.6042066,5.406768538
04_GAS,0.070994025,24.85689387,1.396236882,561.5159811,0.065498464,0.174420006,215.229586,327.336918,84.88744813,64.94666931,769.7844115,1090.41612,133.5246341,319.6626954,587.3730652,695.8154409,44.23474178
05_MINING,13.99998882,4919.343771,21.18311249,528.4512588,29.81806226,117.7133368,882.3806356,1924.494003,416.263166,273.5901509,738.7991163,888.4251586,2999.528377,275.0588604,2211.564481,1724.527957,251.521307
06_FOODPRO,247.449405,18249.04715,988.9361735,1905.358287,18.00683872,281.2762675,2664.874863,9446.98933,4470.721119,1733.507636,1097.052237,4382.958749,16674.93683,683.5349004,13375.60104,6893.979041,386.6708864
07_TEXTILES,139.007603,16625.49228,253.9421938,289.824783,13.01245004,294.5681426,490.8859538,3750.696492,1649.232305,1061.8846,292.9380686,2150.579428,2167.165987,5367.196705,17865.40517,2189.667122,24.96632517
08_WOODPRO,27.46759061,2559.66485,95.86275451,289.155603,2.372957947,22.28712811,393.7873674,1004.425636,634.8553598,322.7690301,112.5640049,435.807917,798.8661531,349.457922,491.0607047,820.9529713,67.65562467
09_PAPERPRO,118.9661852,5808.393625,535.9352162,289.0977095,3.08E-05,55.2105999,1172.639848,1953.895857,1923.897248,557.0142547,95.54841721,531.6028089,790.4680827,311.3435562,2460.10721,1547.821124,54.44580921
10_PETROLCOAL,13.81702648,1079.252848,30.63652767,108.4662567,0.739634385,1.460949292,91.11229486,304.6726788,87.70177502,48.57402337,212.1551039,896.8832693,138.872694,189.7128752,485.3055786,350.6265193,5.841055444
11_CHEMICAL,548.2761637,18526.93349,1214.977152,792.9954105,0.002237975,68.63701108,2368.668067,5118.378931,5393.553105,1595.803649,413.23444,2237.166038,1834.937386,1364.753421,8861.220634,5074.505268,144.3883284
12_NONMET,137.1150176,12635.48796,364.6041608,512.3348187,6.536959812,26.31627775,506.6146705,1418.360318,1298.074458,504.4041698,232.2112717,1494.969421,605.8628004,622.0787248,2337.142138,1245.783259,58.23528427
13_IRONSTL,166.5031641,6507.780163,432.4006476,357.4409168,0.094426918,9.704224057,326.9291557,650.9731723,984.6536448,388.0296515,385.5847725,455.817531,287.2608585,461.0587677,875.3587069,926.6568153,48.75786136
14_NONFERR,59.93738996,4481.692411,295.6828178,501.8067262,46.86285044,2.103898211,368.1416688,1155.089667,861.7285227,227.2473879,584.5793413,1132.00191,1527.080757,217.9864564,876.4186171,875.7603336,56.64482724
15_MACHINE,1955.920921,48530.3177,4359.112285,2982.721172,1.93E-05,121.0141792,6741.016834,6563.200917,12835.03427,4197.803495,847.7794417,4191.414373,2155.685111,2793.28841,12938.55856,11874.23617,240.9303918
16_TRANSEQ,494.0620631,9779.146077,1563.627468,1588.645406,3.81E-06,104.4230612,2152.835534,3443.292046,3655.084089,1183.341469,455.3608728,1827.031387,1613.125255,386.1797557,7701.672747,2158.54695,96.54838464
17_OTHERIND,520.5984698,5744.073534,470.9766022,317.8469113,2.626589893,20.59734139,5155.620995,2935.657253,2652.542349,844.2927679,368.1080625,1137.299463,957.7032975,1343.245787,1589.558388,1439.379841,50.45980171
18_TnD,44.82369339,4924.495266,115.7455857,621.0090611,8.176412052,33.03277121,506.3429724,1213.579507,736.9327501,459.6096814,957.1837875,842.3714502,657.5724254,829.1739139,10702.70602,1054.544211,69.2328646
19_eNuclear,10.32830381,407.0446139,18.38163504,172.1765946,0.003108985,0.010021228,262.6520763,58.01568843,164.038346,49.30844463,544.0465188,18.907723,339.9613856,0.024763184,335.56383,16.57441175,0.001017498
20_eCoal,6.554407107,2928.403931,52.09124985,203.6765487,10.72042677,2.514064258,306.6020411,38.81540945,58.57507838,225.3618525,569.8976329,71.82403265,710.5025232,216.3897766,11750.96335,408.7305251,7.626589125
21_eGas,2.63537139,145.2907927,23.11237973,441.5918149,0.003142293,0.140267938,55.04418129,218.7038912,36.58959008,25.08829914,460.0303981,313.7182432,95.10480903,32.5043547,271.3035239,203.0941819,1.945824473
22_eOil,1.153302727,44.6620849,10.05965283,30.91904154,0.193289735,3.034027343,3.710875465,136.0859224,7.936468652,7.522765548,27.40055551,165.7273197,57.80636647,2.185317521,131.3203865,30.19153731,0.624544107
23_eWind,0.229402837,175.8484777,3.025757402,0.074334704,0.208792753,0.009988403,41.7088274,47.12037867,87.38443253,11.99846415,6.155575695,7.931571841,40.43957856,1.225220818,56.67265116,6.060427104,0.766493785
24_eSolar,0.237381624,36.67569821,7.127348017,0.45514071,0.012867231,0.009202406,5.096256814,6.421786684,25.51169793,2.743454068,3.280045607,4.647372857,53.98143779,0.023685436,23.50016018,15.12642726,0.307580943
25_eHydro,0.138113202,387.4394972,24.98143149,125.0742864,0.026795048,14.78721555,82.39097081,389.1763361,52.55659438,39.68765629,134.6699583,30.64558658,260.6025486,276.6970007,719.1335314,49.20537642,1.861472593
26_eOther,1.816023916,178.6675718,23.98295997,227.2431774,0.003165129,0.352591025,18.52761692,105.2065323,126.9947891,26.04838566,156.0978323,3.309608318,71.28638216,0.87949434,26.62199842,138.5980254,0.764729591
27_CONSTRUC,2019.588,60937.27554,4960.678,4842.88,68.848,707.0161482,10316.34098,15116.02653,12122.85089,2743.571263,2674.7564,11760.85118,7277.671755,1970.829294,59911.57538,15468.90892,1301.188467
28_LTRP,1157.214017,20755.46188,3359.780523,5009.381518,50.50222541,305.7309418,3503.843449,9722.34844,5945.57162,1893.958266,1629.975555,3610.330019,6960.657226,906.6015037,23661.27814,5402.677483,431.8712896
29_WTRP,119.2657358,1304.310383,259.4528789,420.2263207,1.133963451,41.37716136,123.884215,501.7175764,716.4162108,82.14506248,170.8387923,378.0831037,446.2297243,290.6601457,873.8112304,1926.204492,30.40802439
30_ATRP,154.8802473,1526.236715,103.8975983,711.4081613,9.486811137,52.33242999,809.6081328,714.8484957,700.0236648,169.518821,199.7162643,557.7566606,920.2099447,468.2254539,819.3458779,1614.068018,96.20580564
