IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,GWP_100_AR5_GHG,bio,,,,,,,,,,,,,,,,,,,,,0.010236018,0.010682645,0.009893624,0.009829339,0.008751037,0.009146994,0.010041453,0.010203617,0.020777767,0.021205054,0.025864985,0.02675963,0.028193838,0.0274732,0.031668542,0.027051579,0.02764101,0.027936215,0.024708429,0.025225712,0.027113399,0.016339338,0.017649437,0.035709854,0.038072547,0.045002713,0.038103785,0.04055987,0.053634136,0.063489416,0.061790106,0.064744069,0.070635305,0.074082856,0.074082856
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.2,Manufacturing Industries and Construction,GWP_100_AR5_GHG,bio,0.118001068,0.112812212,0.087757844,0.099372975,0.092529463,0.081451129,0.072105859,0.079249386,0.074686562,0.077189899,0.076871379,0.069722504,0.07483329,0.061546664,0.057093192,0.059514708,0.068729566,0.058740901,0.057203256,0.054758851,0.035966229,0.038859727,0.03289183,0.031991584,0.031361276,0.03219143,0.032324948,0.033591313,0.022425161,0.023647267,0.028273162,0.024035137,0.024072999,0.023978063,0.024219783,0.025152252,0.025167916,0.020682733,0.018677609,0.019099739,0.020665117,0.066699826,0.067930234,0.030451961,0.032059037,0.031643163,0.041476357,0.06290371,0.055854016,0.05037705,0.043966074,0.046206011,0.050410172,0.052870579,0.052870579
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.b_noRES,Road Transportation no resuspension,GWP_100_AR5_GHG,bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002045971,,,0.002597503,0.000208807,0.000591189,0.000654045,0.000558114,0.000558637,0.000590832,0.00055458,0.000622497
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.4,Residential and other sectors,GWP_100_AR5_GHG,bio,0.079408031,0.076129968,0.075974632,0.075605865,0.075274652,0.070830529,0.066973597,0.064831694,0.063921743,0.060851061,0.066988389,0.07068991,0.071491776,0.063644541,0.064929018,0.069689948,0.072378358,0.06477727,0.062460451,0.065952832,0.119328243,0.117970645,0.116488675,0.113870324,0.109563185,0.110663291,0.11100965,0.112360801,0.120730003,0.123022352,0.097602518,0.095887084,0.10157633,0.103885075,0.103613025,0.106409655,0.107896617,0.095002281,0.10742452,0.152825334,0.14914411,0.249725009,0.294952018,0.276474459,0.395559898,0.355843018,0.431216717,0.410070056,0.408256386,0.296213416,0.402520588,0.389485059,0.332683549,0.398390631,0.398390631
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.5,Non-Specified,GWP_100_AR5_GHG,bio,0.004468696,0.004332873,0.004366605,0.005195842,0.005225688,0.005110905,0.004120188,0.00398084,0.003960181,0.003729838,0.003667296,0.003783875,0.003786031,0.003443456,0.004798453,0.0052899,0.005408174,0.005047906,0.00463593,0.004416928,0.046707043,0.046604285,0.045968864,0.043865001,0.043236303,0.043344486,0.04296299,0.041872903,0.043474899,0.045163447,0.057111488,0.063041572,0.062746456,0.07502043,0.077558525,0.079036601,0.082609564,0.089208856,0.084339829,0.104101742,0.108958674,0.141887451,0.148732922,0.149283956,0.051475114,0.068642699,0.055334471,0.058727257,0.061176636,0.048765396,0.069085008,0.067626775,0.063627601,0.073986937,0.073986937
Non-Annex_I,Rest Central America,ABW,Aruba,1.B.1,Solid Fuels,GWP_100_AR5_GHG,bio,0.127516104,0.125186315,0.129335637,0.133438094,0.132182441,0.134118897,0.155265971,0.150766981,0.152697154,0.170023536,0.117349285,0.116345951,0.114362609,0.107173911,0.127887662,0.144609849,0.148396697,0.127818071,0.139681017,0.130301651,0.400773533,0.39965602,0.331455104,0.335754486,0.339978206,0.336818497,0.350972786,0.353955423,0.369325227,0.37356317,0.668235855,0.681034334,0.719179208,0.728748919,0.736203153,0.746720759,0.750188628,0.747035453,0.750960063,0.748654938,0.74675311,1.611833298,1.662191732,1.648332434,2.090042485,1.984965926,2.050533537,2.097061898,2.129769488,2.133009767,2.097303224,2.247862292,2.449086685,2.552569221,2.552569221
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,GWP_100_AR5_GHG,fossil,17.38436605,19.92412392,29.40705579,31.29102035,30.19196942,43.13208234,40.01818563,48.02042334,49.9615416,51.01975525,54.173391,54.72127344,53.76883257,52.712044,62.61408617,65.78309458,71.18292103,81.10975835,89.06697294,120.2025313,109.3498057,118.6000547,136.1480355,136.4070408,155.7956324,171.054535,112.7310454,184.2726837,186.687001,186.6893678,143.9509971,146.9849164,156.7408941,186.4942283,192.897041,213.2895802,236.5099863,259.5558912,256.9655418,273.2319626,254.7259724,156.6987679,198.1994639,214.4516139,222.8662909,230.7506499,241.4870394,224.065975,226.4854509,245.2318784,252.0114331,256.8632091,271.8140581,271.2636654,281.6858464
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.2,Manufacturing Industries and Construction,GWP_100_AR5_GHG,fossil,0.1937165,0.222017389,0.280859026,0.260935908,0.324798061,0.3967614,0.474585979,0.534049783,0.598819325,0.583539182,0.801387056,1.006000315,0.836953367,1.081548138,1.198064374,1.419580539,2.377717129,2.427916557,2.334727824,4.00969962,9.413170737,9.720981076,8.731928371,7.983068459,8.691289754,10.15548781,6.486872316,9.61724866,9.771661144,10.44907512,6.700960793,7.859429971,18.5323894,18.02092234,17.02269596,15.43952819,14.64585476,14.08413761,11.0679397,13.684148,14.80398851,10.17541784,18.13612058,20.01840183,22.27991024,24.29277763,21.79700952,33.38257697,28.22777276,26.83594431,28.74924376,34.74162641,36.76017346,36.68573826,38.09523558
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.a,Civil Aviation,GWP_100_AR5_GHG,fossil,0.760161583,0.871216905,0.515057691,0.608058499,0.841301671,0.856276135,1.045870204,1.077986991,1.286331757,1.28822576,1.398153973,1.546643738,1.650080704,1.609009432,1.526274799,2.528559891,2.629006889,3.234057104,3.240369687,5.687560645,6.844000921,8.210457681,8.096659192,7.338053395,10.32297834,12.0132614,8.805563128,17.82156221,15.06558597,15.80946718,15.15354232,11.77293055,11.85302313,13.04178922,13.1619855,14.36800509,14.50110828,15.86028752,16.69494099,15.07170731,14.35894831,14.20882444,14.31894884,17.43480078,18.56963934,19.04459576,19.13094403,19.84020699,16.67473885,23.43540797,12.19355344,12.72329592,13.46254296,15.37112,15.51601588
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.b_noRES,Road Transportation no resuspension,GWP_100_AR5_GHG,fossil,1.061427845,1.215866469,1.387373992,1.734040515,2.168556881,3.472904893,3.985716097,4.506594197,4.970668543,4.518805905,7.447411291,8.123489959,9.062624503,10.30755424,12.15628402,11.98285327,13.76940617,15.45831224,17.00215525,24.09182361,49.25758688,57.31662111,66.16091788,68.34472146,77.05388282,84.90436687,55.412541,94.62120607,102.8109809,106.3801521,82.46996854,83.96026704,87.87301298,98.60600868,99.27935478,112.2828196,125.4158207,135.1301055,137.140195,153.3026525,158.9194102,84.11744693,106.3983447,116.6873546,128.4475835,137.3683162,142.53858,137.7151747,138.0433662,152.9979165,140.6817094,147.1228493,155.6712106,155.3559939,161.3249036
