IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,CH4,bio,,,,,,,,,,,,,,,,,,,,,0.000161621,0.000168673,0.000156215,0.0001552,0.000138174,0.000144426,0.000158549,0.00016111,0.00032807,0.000334817,0.000408395,0.00042252,0.000445166,0.000433787,0.00050003,0.00042713,0.000436437,0.000441098,0.000390133,0.000398301,0.000428106,0.00025799,0.000278675,0.00056384,0.000601145,0.000710569,0.000601639,0.000640419,0.000846855,0.001002464,0.000975633,0.001022275,0.001115294,0.001169729,0.001169729
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.2,Manufacturing Industries and Construction,CH4,bio,0.001863175,0.001781245,0.00138565,0.001569047,0.001460992,0.00128607,0.001138514,0.001251306,0.001179262,0.001218788,0.001213759,0.001100882,0.001181578,0.000971789,0.000901471,0.000939706,0.001085204,0.000927488,0.000903209,0.000864613,0.000567888,0.000613575,0.000519345,0.00050513,0.000495178,0.000508286,0.000510394,0.000530389,0.000354081,0.000373378,0.000446418,0.000379502,0.0003801,0.000378601,0.000382418,0.000397141,0.000397388,0.000326569,0.00029491,0.000301575,0.000326291,0.001053155,0.001072583,0.00048082,0.000506195,0.000499629,0.00065489,0.000993216,0.000881906,0.000795427,0.000694201,0.000729569,0.00079595,0.000834799,0.000834799
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.b_noRES,Road Transportation no resuspension,CH4,bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11532E-05,,,1.30616E-05,1.20377E-06,3.12544E-06,3.39399E-06,2.84803E-06,2.86739E-06,3.03444E-06,2.86014E-06,3.20262E-06
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.4,Residential and other sectors,CH4,bio,0.002530768,0.002426771,0.002422086,0.00241051,0.002400079,0.002256125,0.002133767,0.002065709,0.002037055,0.001939308,0.002133697,0.002251086,0.002276447,0.002027289,0.002071052,0.002223726,0.002309472,0.002069036,0.001994371,0.002104332,0.0038407,0.003794359,0.003746712,0.003665197,0.003526129,0.003560775,0.003571178,0.003614774,0.003882398,0.003955751,0.003175523,0.003113095,0.003303484,0.003377681,0.003364954,0.003454761,0.003502793,0.003061125,0.003481893,0.005028037,0.004899228,0.008341655,0.009881855,0.009253848,0.013166138,0.011797084,0.014347574,0.013611091,0.01354141,0.009702566,0.013389439,0.012925453,0.010977147,0.013199858,0.013199858
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.5,Non-Specified,CH4,bio,0.000139205,0.000134906,0.000135927,0.000162201,0.000163133,0.000159436,0.00012803,0.000123646,0.000122937,0.00011573,0.000113811,0.000117507,0.000117593,0.00010681,0.000147374,0.000162282,0.000165837,0.000154166,0.000141579,0.00013495,0.001476173,0.001472928,0.001452839,0.00138626,0.001364249,0.001367712,0.001355691,0.001321384,0.001371907,0.001423081,0.00179603,0.001978796,0.001974363,0.0023595,0.002435834,0.002482372,0.00259136,0.00279034,0.002642541,0.003236766,0.003383029,0.004465821,0.004678275,0.004695271,0.00159094,0.002108507,0.001709951,0.001813538,0.001888846,0.001517951,0.0021302,0.002088531,0.001973686,0.002287849,0.002287849
Non-Annex_I,Rest Central America,ABW,Aruba,1.B.1,Solid Fuels,CH4,bio,0.004200397,0.004123648,0.004260322,0.004395451,0.004354084,0.004417864,0.00511444,0.004966237,0.005029809,0.005600528,0.003865447,0.003832392,0.003767055,0.003530257,0.004212551,0.004763363,0.004888092,0.004210238,0.004600987,0.00429203,0.01320113,0.01316432,0.010917842,0.011059459,0.011198585,0.011094507,0.011560737,0.011658982,0.01216525,0.012304844,0.022011105,0.022432676,0.023689135,0.024004353,0.024249889,0.024596329,0.024710558,0.024606695,0.024735968,0.02466004,0.024597395,0.053092381,0.054751143,0.05429463,0.068844174,0.065383043,0.067542783,0.069075387,0.070152746,0.070259478,0.069083336,0.07404262,0.080670776,0.0840794,0.0840794
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,CH4,fossil,0.000453091,0.000519285,0.000892929,0.000871708,0.000887827,0.001213786,0.001031267,0.001337202,0.001220531,0.001254636,0.001358821,0.001349023,0.001301633,0.001329535,0.001652939,0.0016503,0.001780565,0.002016052,0.002194536,0.003218771,0.002755664,0.003201218,0.003712793,0.003738912,0.004348773,0.00480081,0.003156476,0.005238296,0.005454974,0.005426258,0.00407556,0.004219084,0.004588866,0.005358101,0.005477741,0.006014556,0.00700536,0.007709843,0.00784771,0.00840589,0.007765917,0.00531061,0.006557539,0.007113063,0.007471561,0.007705384,0.00807066,0.007538683,0.007579369,0.008277246,0.008562854,0.008712296,0.009665575,0.009646004,0.010016611
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.2,Manufacturing Industries and Construction,CH4,fossil,7.77436E-06,8.91015E-06,1.09174E-05,1.03962E-05,1.25174E-05,1.53065E-05,1.84117E-05,2.07017E-05,2.32546E-05,2.24667E-05,3.12402E-05,3.92177E-05,3.24172E-05,4.21364E-05,4.66322E-05,5.59438E-05,9.14687E-05,9.64946E-05,9.30979E-05,0.000159347,0.000376349,0.000387181,0.000342767,0.000313521,0.000342766,0.000401179,0.00025605,0.000376941,0.000383569,0.000408619,0.000268146,0.000314927,0.000728069,0.000706848,0.000666761,0.00060761,0.000581087,0.000559171,0.000442392,0.000554037,0.00059402,0.000412902,0.000722405,0.000796614,0.00088553,0.000960387,0.000856228,0.001311302,0.001115802,0.001068308,0.001138375,0.001374017,0.001453848,0.001450904,0.001506649
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.a,Civil Aviation,CH4,fossil,5.38243E-06,6.16877E-06,3.64126E-06,4.29678E-06,5.94864E-06,6.05034E-06,7.34852E-06,7.57119E-06,9.0351E-06,9.04722E-06,9.82117E-06,1.08635E-05,1.15901E-05,1.13039E-05,1.074E-05,1.76965E-05,1.84318E-05,2.2618E-05,2.26646E-05,3.99366E-05,4.75598E-05,5.71016E-05,5.62709E-05,5.09942E-05,7.17167E-05,8.3467E-05,6.1165E-05,0.000123768,0.000104626,0.000109803,0.000105245,8.17707E-05,8.23065E-05,9.05615E-05,9.13965E-05,9.97718E-05,0.0001007,0.000110135,0.000115911,0.000104664,9.97021E-05,9.86548E-05,9.94288E-05,0.000121059,0.000128938,0.000132236,0.000132859,0.00013777,0.000115835,0.000162718,8.46917E-05,8.8397E-05,9.3533E-05,0.000106793,0.0001078
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.b_noRES,Road Transportation no resuspension,CH4,fossil,0.000320146,0.000366731,0.000411458,0.000539294,0.000612333,0.001092571,0.001221509,0.001426106,0.001560358,0.001367085,0.002310329,0.002541024,0.003021253,0.003359166,0.004287157,0.004248023,0.004696518,0.00532302,0.005838212,0.007953882,0.013841,0.016540733,0.019736104,0.02006103,0.022640877,0.024115367,0.015525296,0.025969656,0.026593352,0.026421326,0.019776859,0.019418212,0.019681918,0.021669888,0.022242635,0.024194817,0.024495037,0.025701359,0.024676645,0.029134618,0.029794314,0.017569943,0.02097665,0.022609092,0.024578738,0.025776584,0.026159366,0.025057888,0.024978302,0.027649498,0.025437392,0.026705206,0.028256877,0.02819966,0.029283115
