IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,CO2bio,bio,,,,,,,,,,,,,,,,,,,,,0.538737764,0.562244468,0.520717051,0.517333654,0.460580913,0.481420742,0.528497543,0.53703249,1.09356666,1.116055472,1.36131502,1.408401593,1.483886198,1.445957905,1.666765388,1.423767324,1.454789981,1.470327112,1.300443628,1.327669056,1.427020985,0.859965137,0.928917724,1.879465977,2.003818261,2.368563838,2.005462357,2.13473002,2.822849272,3.341548231,3.25211083,3.407582594,3.717647646,3.899097662,3.899097662
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.2,Manufacturing Industries and Construction,CO2bio,bio,6.21058251,5.937484819,4.618833912,5.230156598,4.869971717,4.286901529,3.795045198,4.171020309,3.93087169,4.062626255,4.045862037,3.669605466,3.938594212,3.239298091,3.004904843,3.132353032,3.617345577,3.091626392,3.010697685,2.88204478,1.892959412,2.045248809,1.731148931,1.683767566,1.650593457,1.694285797,1.701313062,1.767963827,1.180271648,1.244593019,1.488061167,1.265007222,1.266999964,1.262003299,1.274725401,1.323802747,1.324627137,1.08856489,0.983032062,1.005249425,1.087637731,3.510517141,3.575275462,1.60273479,1.687317736,1.665429641,2.182966172,3.310721559,2.93968507,2.651423673,2.314003901,2.431895341,2.653166932,2.782662039,2.782662039
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.b_noRES,Road Transportation no resuspension,CO2bio,bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107140496,,,0.121254501,0.011197676,0.029508351,0.032075014,0.026939412,0.027114101,0.028692819,0.027038632,0.030280292
Non-Annex_I,Rest Central America,ABW,Aruba,1.B.1,Solid Fuels,CO2bio,bio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.5,Non-Specified,CO2bio,bio,0.056550609,0.055084342,0.055619539,0.064473405,0.064842977,0.06384103,0.053323074,0.051719231,0.051701594,0.048901611,0.048002591,0.04923974,0.049194941,0.04527345,0.068532042,0.076241459,0.078218171,0.075321506,0.069194767,0.06570454,0.512378633,0.5112404,0.504296362,0.481537688,0.482589455,0.48361402,0.47929356,0.466797838,0.484771513,0.511433736,0.659834462,0.742165453,0.720757423,0.865729058,0.907985969,0.924856268,0.978660744,1.086659997,1.010649977,1.340107014,1.420266292,1.625276068,1.714840938,1.722442019,0.698066338,0.979255376,0.751403669,0.802145309,0.836827021,0.621372556,0.955471193,0.923071704,0.836326363,0.999131656,0.999131656
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.4,Residential and other sectors,CO2bio,bio,0.884185203,0.849386687,0.848603502,0.845129122,0.841887952,0.784129039,0.743194867,0.720081436,0.711186409,0.67741033,0.741429042,0.780574517,0.788807175,0.704772915,0.729165549,0.785537289,0.81570242,0.737544341,0.708794133,0.742886273,1.463121505,1.437032471,1.419046345,1.396791541,1.34241505,1.353185705,1.354771803,1.371723078,1.468104082,1.494682061,1.318428138,1.271637555,1.367365451,1.395272013,1.37776137,1.411317408,1.430166887,1.176921608,1.404011499,2.26367812,2.181681837,4.147240632,5.00352863,4.658133869,6.401750566,5.590879741,6.95956379,6.500870189,6.438271493,4.234002252,6.484472414,6.166043751,5.040858899,6.231578873,6.231578873
Non-Annex_I,India +,AFG,Afghanistan,1.A.2,Manufacturing Industries and Construction,CO2bio,bio,,,,,,,,,,0.135935082,,0.539871895,0.873354901,2.208952459,2.1676768,1.920935794,0.702262582,1.501708334,0.867670031,1.980580234,85.03092603,86.41876643,94.04145122,102.0011638,115.9840829,90.7103455,96.8392708,86.19845699,74.36061502,100.6013999,146.9833775,138.3452214,153.8911351,145.4092604,153.093997,147.6926548,157.2518159,140.2757202,134.4408576,123.4322228,115.5439083,127.5375959,125.5751647,88.48622714,106.5771378,110.9006841,85.80758074,101.0371466,93.39860666,97.3717522,93.14262322,94.36710986,97.73851551,99.53726348,99.53726348
Non-Annex_I,India +,AFG,Afghanistan,1.A.5,Non-Specified,CO2bio,bio,,,,,,,,,,,,,,,,,,0.208316247,0.212824725,0.22006447,0.38762544,0.424496891,0.411131278,0.53956321,0.608647961,1.089596629,1.163216195,1.294854394,1.342976612,3.271278216,4.266844051,4.69937915,4.785179981,4.80672045,7.769192343,4.980386079,5.040072075,5.184011795,5.314055658,8.807469173,9.8366398,4.130676745,4.152072426,4.191445363,3.598622703,4.036751544,4.118201899,3.86667029,2.961618263,2.894237186,2.81837342,1.2659969,1.330163891,1.35797388,1.35797388
Non-Annex_I,India +,AFG,Afghanistan,1.A.4,Residential and other sectors,CO2bio,bio,297.1992949,303.5677723,315.9880432,314.9694713,321.8552078,332.2230838,342.4933915,346.3119402,354.5214565,362.6336428,372.3429341,366.2039048,357.6218929,351.5365063,335.098052,343.590981,337.0830099,342.2834847,352.6334906,366.2614003,659.2796182,679.6913642,726.514454,784.3990547,848.644132,1041.427695,1125.507627,1209.126089,1266.907707,1337.086426,1410.181052,1445.037157,1513.837862,1547.267374,1586.719112,1630.378125,1667.121805,1701.13564,1737.589121,1775.29921,1810.686196,1849.593125,1887.520321,2133.415513,2176.796545,2220.271557,2261.910187,2306.765843,2281.144783,2388.194283,2429.279668,2433.010405,2547.640075,2599.530664,2599.530664
Non-Annex_I,India +,AFG,Afghanistan,1.A.1.a,Main Activity Electricity and Heat Production,CO2bio,bio,0.127614891,0.130811193,0.133541735,0.130492731,0.130754671,0.155074646,0.157712309,0.158455567,0.182572835,0.813093176,0.815449957,0.807308435,0.816771344,0.805018898,0.797387043,0.799803548,0.774988804,0.780613631,0.797508034,0.824637191,2.630315485,2.704873481,2.88343749,3.09804151,3.575408441,8.60267914,9.18392682,9.174043379,9.514989297,8.169357294,12.77732536,18.8667916,20.71457032,29.26659527,30.21356812,31.45059082,29.04722022,26.77103547,25.47661233,26.38078905,28.82365919,30.426281,34.35283213,39.09897294,40.16677357,28.10422903,27.80666005,28.77061858,32.3519329,37.10908648,34.21205228,35.18124766,36.3860828,37.3355781,38.15565507
Non-Annex_I,India +,AFG,Afghanistan,1.B.1,Solid Fuels,CO2bio,bio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-Annex_I,India +,AFG,Afghanistan,1.B.2,Oil and Natural Gas,CO2bio,bio,,,,,,0.281072796,0.28585356,0.287200716,0.290115737,0.292008695,0.292855093,0.289931203,0.378863816,0.373412381,0.451307036,1.63009814,13.1634462,13.48790473,13.94118883,19.08515166,,,,0.741158256,0.796659635,1.426173598,1.522534287,1.618567992,1.678720765,1.925084195,3.034338925,3.521351087,3.590066727,3.659785985,3.873534374,3.948027044,4.005238257,4.067595384,4.125510218,4.184361367,4.26385491,4.278901482,4.348170524,,,,,,,,,,,,
Non-Annex_I,India +,AFG,Afghanistan,3.C.1,Emissions from biomass burning,CO2bio,bio,1306.186447,1276.88932,1513.994736,1534.650247,1555.101607,1598.130635,1633.96284,1516.717219,1576.532107,1504.425016,1442.803203,1384.617181,1327.464312,1273.332618,1218.633865,1158.458649,1103.190433,1222.716029,1091.796073,1042.560357,1000.258156,1022.010205,959.7061477,1128.462084,1187.42077,1198.457731,1232.054527,1357.543978,1411.112775,1220.456462,851.6707355,857.557896,1289.76136,1588.442857,1294.093749,1872.130158,1620.785228,1962.066652,1396.37873,2192.641451,2011.77648,1642.744986,2206.142086,2254.361872,2344.196042,2017.318867,1934.969339,1725.596351,1462.444812,1964.212249,2132.539225,1697.493734,1620.891194,1796.68548,1840.808794
Non-Annex_I,Southern_Africa,AGO,Angola,1.A.2,Manufacturing Industries and Construction,CO2bio,bio,468.10121,468.10121,469.30115,471.10147,473.50135,476.60125,480.00135,484.20113,489.0013,493.80147,498.60121,503.10119,507.60116,512.2012,517.00136,521.90117,526.90147,532.30118,538.00109,544.60117,552.00133,615.25325,567.00138,531.83819,556.22351,637.85712,607.7864,629.07181,658.64967,662.04977,673.84238,685.73506,689.03509,692.43519,683.04598,686.74627,784.26868,834.63205,859.41721,850.132,858.2322,875.02469,891.91724,891.52445,711.284398,645.993588,735.208862,765.8322,811.3395,819.100714,828.32313,834.60375,840.63316,851.5822414,852.1960014
Non-Annex_I,Southern_Africa,AGO,Angola,1.B.1,Solid Fuels,CO2bio,bio,3314.494743,3314.494743,3330.34537,3358.196688,3392.348913,3433.301451,3481.25439,3542.057972,3607.761498,3676.065935,3741.869531,3806.323246,3868.326913,3935.480677,4000.884903,4070.18868,4140.293007,4215.247397,4297.952039,4387.357466,4490.513666,4596.569657,4702.67599,4812.282503,4936.985394,4968.94232,4966.202942,4978.31199,4975.521666,4968.580887,4955.590241,4938.950508,4922.210246,4966.513657,5014.116639,5059.170392,5153.827158,5250.134476,5349.741835,5449.299016,5553.357057,5660.614178,5765.522201,5872.979872,5976.337883,6075.995134,6178.302552,6278.426806,6374.973083,6468.342804,6555.203754,6636.556116,6714.653257,6815.313594,6815.313594
Non-Annex_I,Southern_Africa,AGO,Angola,1.A.4,Residential and other sectors,CO2bio,bio,9803.605447,9803.605447,9856.75453,9929.203032,10030.35102,10160.49876,10301.94577,10473.54224,10671.23825,10873.03433,11070.93048,11257.47668,11449.07294,11640.01947,11837.21512,12040.81115,12245.50702,12467.35279,12710.74795,12983.34246,13287.28641,13595.93045,13913.82386,14237.4176,14513.01465,14719.25775,14959.59678,15178.88798,15392.0784,15589.31929,15785.70977,15985.34951,16184.68993,16329.38621,16479.38303,16634.32979,16942.57297,17262.56545,17587.95849,17922.30074,18264.04312,18610.88549,18963.07763,19310.42032,19650.96234,19985.60479,20315.39774,20644.62647,20962.09066,21269.11467,21554.72275,21822.22042,22079.01452,22574.0814,22574.0814
