IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,N2O,bio,,,,,,,,,,,,,,,,,,,,,2.15495E-05,2.24898E-05,2.08287E-05,2.06933E-05,1.84232E-05,1.92568E-05,2.11399E-05,2.14813E-05,4.37427E-05,4.46422E-05,5.44526E-05,5.63361E-05,5.93554E-05,5.78383E-05,6.66706E-05,5.69507E-05,5.81916E-05,5.88131E-05,5.20177E-05,5.31068E-05,5.70808E-05,3.43986E-05,3.71567E-05,7.51786E-05,8.01527E-05,9.47426E-05,8.02185E-05,8.53892E-05,0.000112914,0.000133662,0.000130084,0.000136303,0.000148706,0.000155964,0.000155964
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.2,Manufacturing Industries and Construction,N2O,bio,0.000248423,0.000237499,0.000184753,0.000209206,0.000194799,0.000171476,0.000151802,0.000166841,0.000157235,0.000162505,0.000161834,0.000146784,0.000157544,0.000129572,0.000120196,0.000125294,0.000144694,0.000123665,0.000120428,0.000115282,7.57184E-05,8.181E-05,6.9246E-05,6.73507E-05,6.60237E-05,6.77714E-05,6.80525E-05,7.07186E-05,4.72109E-05,4.97837E-05,5.95224E-05,5.06003E-05,5.068E-05,5.04801E-05,5.0989E-05,5.29521E-05,5.29851E-05,4.35426E-05,3.93213E-05,4.021E-05,4.35055E-05,0.000140421,0.000143011,6.41094E-05,6.74927E-05,6.66172E-05,8.73186E-05,0.000132429,0.000117587,0.000106057,9.25602E-05,9.72758E-05,0.000106127,0.000111306,0.000111306
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.b_noRES,Road Transportation no resuspension,N2O,bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54219E-06,,,8.4218E-06,6.60762E-07,1.90067E-06,2.10948E-06,1.80517E-06,1.80509E-06,1.90893E-06,1.79055E-06,2.01065E-06
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.4,Residential and other sectors,N2O,bio,3.22511E-05,3.08693E-05,3.07782E-05,3.06098E-05,3.0462E-05,2.8902E-05,2.7276E-05,2.63843E-05,2.59781E-05,2.47187E-05,2.73391E-05,2.89037E-05,2.925E-05,2.5964E-05,2.6187E-05,2.80212E-05,2.91062E-05,2.58274E-05,2.49738E-05,2.65341E-05,4.44855E-05,4.42589E-05,4.37009E-05,4.24333E-05,4.08739E-05,4.13645E-05,4.15723E-05,4.20647E-05,4.53693E-05,4.62691E-05,3.27844E-05,3.29072E-05,3.42595E-05,3.51321E-05,3.54502E-05,3.65146E-05,3.70506E-05,3.50596E-05,3.74774E-05,4.54351E-05,4.51537E-05,6.09761E-05,6.8906E-05,6.55347E-05,0.00010154,9.63195E-05,0.000111263,0.000109281,0.0001098,9.26097E-05,0.000104212,0.000104047,9.55601E-05,0.000108659,0.000108659
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.5,Non-Specified,N2O,bio,2.15456E-06,2.09627E-06,2.11561E-06,2.46875E-06,2.48291E-06,2.44039E-06,2.0202E-06,1.95755E-06,1.95453E-06,1.84674E-06,1.81353E-06,1.86296E-06,1.86195E-06,1.70855E-06,2.53579E-06,2.81515E-06,2.88584E-06,2.75945E-06,2.53483E-06,2.40878E-06,2.028E-05,2.02351E-05,1.99599E-05,1.90556E-05,1.90088E-05,1.90512E-05,1.88817E-05,1.83931E-05,1.91E-05,2.00648E-05,2.57458E-05,2.88124E-05,2.81671E-05,3.37903E-05,3.53025E-05,3.5963E-05,3.79301E-05,4.18088E-05,3.90516E-05,5.08388E-05,5.37126E-05,6.3564E-05,6.69481E-05,6.72316E-05,2.61464E-05,3.62434E-05,2.81352E-05,2.99932E-05,3.12791E-05,2.36331E-05,3.56204E-05,3.45205E-05,3.15638E-05,3.7461E-05,3.7461E-05
Non-Annex_I,Rest Central America,ABW,Aruba,1.B.1,Solid Fuels,N2O,bio,5.67621E-06,5.5731E-06,5.75846E-06,5.94177E-06,5.88653E-06,5.97345E-06,6.91612E-06,6.71652E-06,6.80333E-06,7.57622E-06,5.22972E-06,5.18567E-06,5.09793E-06,4.77811E-06,5.70236E-06,6.44886E-06,6.61866E-06,5.70164E-06,6.23172E-06,5.81412E-06,1.78854E-05,1.78355E-05,1.47919E-05,1.49838E-05,1.51723E-05,1.50313E-05,1.56629E-05,1.5796E-05,1.6482E-05,1.66711E-05,2.98215E-05,3.03927E-05,3.2095E-05,3.2522E-05,3.28547E-05,3.33241E-05,3.34788E-05,3.33381E-05,3.35132E-05,3.34104E-05,3.33255E-05,7.19316E-05,7.4179E-05,7.35605E-05,9.32728E-05,8.85835E-05,9.15096E-05,9.3586E-05,9.50457E-05,9.51903E-05,9.35968E-05,0.000100316,0.000109296,0.000113914,0.000113914
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,N2O,fossil,0.000105562,0.000120983,0.000196255,0.00019786,0.000197447,0.000274441,0.000241358,0.000303567,0.000291962,0.0002993,0.000321525,0.000321485,0.000312545,0.000313882,0.000383145,0.000390468,0.000421793,0.000478821,0.000523096,0.00074191,0.000650814,0.000734448,0.000848447,0.00085274,0.000984969,0.001085108,0.000714081,0.001178307,0.001214157,0.001210124,0.000918169,0.00094562,0.001020997,0.001200494,0.00123267,0.001357043,0.001550702,0.001704894,0.001716855,0.001833726,0.001699513,0.001120065,0.001393899,0.001510751,0.001581363,0.001632959,0.001709913,0.001593746,0.001605141,0.001748075,0.001804348,0.001836897,0.002004592,0.002000533,0.002077395
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.2,Manufacturing Industries and Construction,N2O,fossil,1.55487E-06,1.78203E-06,2.16017E-06,2.07924E-06,2.47493E-06,3.03011E-06,3.64854E-06,4.10393E-06,4.6119E-06,4.45174E-06,6.20384E-06,7.79664E-06,6.4334E-06,8.37167E-06,9.26667E-06,1.11263E-05,1.80987E-05,1.92989E-05,1.86196E-05,3.18694E-05,7.49159E-05,7.70326E-05,6.79851E-05,6.22537E-05,6.81822E-05,7.98336E-05,5.09434E-05,7.48298E-05,7.61625E-05,8.10267E-05,5.36293E-05,6.29854E-05,0.000145614,0.00014137,0.000133352,0.000121522,0.000116217,0.000111834,8.84785E-05,0.000110469,0.000118136,8.19881E-05,0.000143576,0.00015833,0.000176048,0.000190579,0.000169902,0.000260886,0.000221593,0.000212239,0.000226311,0.000273536,0.000289429,0.000288843,0.000299941
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.a,Civil Aviation,N2O,fossil,2.15297E-05,2.46751E-05,1.45651E-05,1.71871E-05,2.37946E-05,2.42014E-05,2.93941E-05,3.02848E-05,3.61404E-05,3.61889E-05,3.92847E-05,4.34541E-05,4.63602E-05,4.52158E-05,4.296E-05,7.0786E-05,7.3727E-05,9.04718E-05,9.06584E-05,0.000159747,0.000190239,0.000228406,0.000225084,0.000203977,0.000286867,0.000333868,0.00024466,0.000495071,0.000418505,0.000439214,0.000420978,0.000327083,0.000329226,0.000362246,0.000365586,0.000399087,0.0004028,0.000440539,0.000463646,0.000418657,0.000398809,0.000394619,0.000397715,0.000484234,0.000515753,0.000528943,0.000531438,0.00055108,0.000463341,0.000650871,0.000338767,0.000353588,0.000374132,0.000427173,0.000431199
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.b_noRES,Road Transportation no resuspension,N2O,fossil,4.43152E-05,4.84318E-05,5.65133E-05,6.78215E-05,9.5537E-05,0.000135461,0.000145026,0.000152232,0.000184887,0.000165597,0.000264846,0.000299105,0.000317607,0.000388324,0.00038794,0.000372158,0.00046652,0.000514568,0.000566262,0.000744461,0.001890373,0.00235043,0.002703089,0.002814277,0.003029367,0.003932717,0.002951534,0.005787998,0.007662941,0.009286009,0.003694569,0.003809866,0.003966913,0.004579932,0.004812622,0.005412933,0.006363557,0.006627045,0.006457979,0.006699514,0.006673485,0.003203011,0.004207182,0.004653264,0.005072176,0.005312421,0.006147216,0.005976698,0.005343166,0.005932818,0.005450982,0.005668461,0.005997817,0.005985672,0.006215647
