Region,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,CO2,CH4,N2O,F-gas,CO2bio,Calculated_Total_GHG,Official_AR5_Total,Difference
01_KOR,1.A.1.a,Main Activity Electricity and Heat Production,324160.3588,236.393803072,3784.30871731,0.0,7961.757745,328181.061320382,328181.06127370003,-4.6681961975991726e-05
01_KOR,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,46727.37241,14.523634607999998,16.193799935,0.0,0.0,46758.089844543,46758.08985,5.456997314468026e-06
01_KOR,1.A.2,Manufacturing Industries and Construction,71069.32382,179.121615988,238.596419455,0.0,2615.133726,71487.041855443,71487.0418591,3.6569981602951884e-06
01_KOR,1.A.3.a,Civil Aviation,3306.462067,0.64741684,24.5093518,0.0,0.0,3331.61883564,3331.618836,3.6000028558191843e-07
01_KOR,1.A.3.b_noRES,Road Transportation no resuspension,101190.5285,218.826164676,1547.747336555,0.0,1901.065569,102957.10200123099,102957.10204329,4.2059007682837546e-05
01_KOR,1.A.3.c,Railways,281.1457672,0.440886488,28.748715005,0.0,0.0,310.335368693,310.3353686,-9.300003966927761e-08
01_KOR,1.A.3.d,Water-borne Navigation,1212.479703,3.160673096,8.54671799,0.0,0.0,1224.187094086,1224.187094,-8.600000001024455e-08
01_KOR,1.A.3.e,Other Transportation,4.19799816,0.004737992,0.008968342,0.0,0.0,4.211704494,4.211704478,-1.6000000435667516e-08
01_KOR,1.A.4,Residential and other sectors,50253.59482,406.569925608,148.435689405,0.0,1870.105014,50808.600435012995,50808.6004408,5.78700564801693e-06
01_KOR,1.A.5,Non-Specified,3607.142084,13.742498364,7.753588095,0.0,0.0,3628.638170459,3628.63817,-4.5899969336460344e-07
01_KOR,1.B.1,Solid Fuels,1692.572578,1111.7918854,0.0,0.0,0.0,2804.3644634,2883.778169,79.41370559999996
01_KOR,1.B.2,Oil and Natural Gas,1425.348734,2305.69671444,0.0055279,0.0,1901.062609,3731.0509763399996,3895.7435982,164.6926218600006
01_KOR,2.A.1,Cement production,18903.54202,0.0,0.0,0.0,0.0,18903.54202,18903.54202,0.0
01_KOR,2.A.2,Lime production,3900.0,0.0,0.0,0.0,0.0,3900.0,3900.0,0.0
01_KOR,2.A.3,Glass Production,2.54620531,0.0,0.0,0.0,0.0,2.54620531,2.54620531,0.0
01_KOR,2.A.4,Other Process Uses of Carbonates,423.3123168,0.0,0.0,0.0,0.0,423.3123168,423.3123168,0.0
01_KOR,2.B,Chemical Industry,17112.87048,143.830713628,1238.9705325,0.0,0.0,18495.671726128003,18495.67173,3.8719954318366945e-06
01_KOR,2.C,Metal Industry,7090.945131,113.074164,0.0,89.4671555,0.0,7293.4864505000005,7293.486458,7.499999810534064e-06
01_KOR,2.D,Non-Energy Products from Fuels and Solvent Use,867.9650912,0.0,0.0,0.0,0.0,867.9650912,867.9650912,0.0
01_KOR,2.E,Electronics Industry,0.0,0.0,0.0,2716.1180213593,0.0,2716.1180213593,2715.970362,-0.14765935930017804
