model,scenario,version,region,unit,variable,type,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD ENV-Growth 2025,Historical Reference,1,Afghanistan,billion USD_2010/yr,GDP|PPP,ANNUAL,,,,,,28.55435155,46.30954366,61.59524734,66.32214371,56.77125909,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Afghanistan,billion USD_2015/yr,GDP|PPP,ANNUAL,,,,,,33.40373899,54.17429656,72.05597232,77.58563781,66.41272583,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Afghanistan,billion USD_2017/yr,GDP|PPP,ANNUAL,,,,,,33.027,53.5633,71.2433,76.7106,65.6637,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Albania,billion USD_2010/yr,GDP|PPP,ANNUAL,13.10974417,14.4834957,14.78321207,12.89751496,16.46868629,21.90657416,28.33109832,30.95942109,34.0931566,43.10539394,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Albania,billion USD_2015/yr,GDP|PPP,ANNUAL,14.2259072,15.71661988,16.04185409,13.99560881,17.87082951,23.77169891,30.74320677,33.59530482,36.99584643,46.77538526,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Albania,billion USD_2017/yr,GDP|PPP,ANNUAL,14.8499,16.406,16.7455,14.6095,18.6547,24.8144,32.0917,35.0689,38.6186,48.8271,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Algeria,billion USD_2010/yr,GDP|PPP,ANNUAL,204.2872039,263.140192,270.2452953,273.3078608,322.9087924,415.8689481,471.2027789,554.7700147,563.1161735,659.7363499,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Algeria,billion USD_2015/yr,GDP|PPP,ANNUAL,175.7814727,226.4222604,232.5359352,235.1711579,277.8508982,357.8396237,405.4523086,477.358779,484.5403355,567.6783715,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Algeria,billion USD_2017/yr,GDP|PPP,ANNUAL,168.229,216.694,222.545,225.067,265.913,342.465,388.032,456.849,463.722,543.288,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Angola,billion USD_2010/yr,GDP|PPP,ANNUAL,,,58.74046897,50.26546783,66.10734052,102.9230966,153.8883139,191.9386397,172.6400233,194.6208842,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Angola,billion USD_2015/yr,GDP|PPP,ANNUAL,,,62.616546,53.58230933,70.46953151,109.7146299,164.0428627,204.6039957,184.0319315,207.4632321,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Angola,billion USD_2017/yr,GDP|PPP,ANNUAL,,,68.5243,58.6377,77.1182,120.066,179.52,223.908,201.395,227.037,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Antigua and Barbuda,billion USD_2010/yr,GDP|PPP,ANNUAL,0.622501455,0.807092959,1.094451658,1.21488881,1.575567416,1.815144323,1.8144877,1.969620596,1.970933842,2.641210297,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Antigua and Barbuda,billion USD_2015/yr,GDP|PPP,ANNUAL,0.559124041,0.724922125,0.983024585,1.091199926,1.41515753,1.630342904,1.629753132,1.769091813,1.770271357,2.372306384,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Antigua and Barbuda,billion USD_2017/yr,GDP|PPP,ANNUAL,0.54986,0.712911,0.966737,1.07312,1.39171,1.60333,1.60275,1.73978,1.74094,2.333,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Argentina,billion USD_2010/yr,GDP|PPP,ANNUAL,469.0642061,421.579111,421.7350114,552.7404528,527.3010491,580.1458905,736.666766,792.6572617,686.2034367,787.8266549,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Argentina,billion USD_2015/yr,GDP|PPP,ANNUAL,513.069934,461.1299773,461.3005036,604.5963517,576.7703248,634.5728579,805.7778959,867.021196,750.580299,861.737401,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Argentina,billion USD_2017/yr,GDP|PPP,ANNUAL,610.775,548.944,549.147,719.731,686.606,755.416,959.224,1032.13,893.515,1025.84,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Armenia,billion USD_2010/yr,GDP|PPP,ANNUAL,,,14.8340341,7.840462721,9.893969467,17.87798997,21.60076362,26.80452067,30.36477303,42.43829227,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Armenia,billion USD_2015/yr,GDP|PPP,ANNUAL,,,16.14158314,8.531561949,10.76607548,19.45384914,23.50476745,29.16721076,33.0412823,46.17902443,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Armenia,billion USD_2017/yr,GDP|PPP,ANNUAL,,,18.3279,9.68713,12.2243,22.0888,26.6884,33.1178,37.5166,52.4338,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Aruba,billion USD_2010/yr,GDP|PPP,ANNUAL,,,2.057045334,2.79914895,3.376593315,3.765637721,3.434793518,3.871329058,3.028140367,4.47251413,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Aruba,billion USD_2015/yr,GDP|PPP,ANNUAL,,,2.069760772,2.816451633,3.397465417,3.788914666,3.45602538,3.895259324,3.04685854,4.500160567,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Aruba,billion USD_2017/yr,GDP|PPP,ANNUAL,,,2.11677,2.88042,3.47463,3.87497,3.53452,3.98373,3.11606,4.60237,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Australia,billion USD_2010/yr,GDP|PPP,ANNUAL,364.2461287,422.5531838,500.4937266,572.1144273,670.9039154,791.8866914,908.4873761,1038.043692,1123.116769,1291.732413,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Australia,billion USD_2015/yr,GDP|PPP,ANNUAL,390.0866514,452.5301533,535.9999914,612.701642,718.4995011,848.0650949,972.9377209,1111.685083,1202.793455,1383.37111,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Australia,billion USD_2017/yr,GDP|PPP,ANNUAL,406.963,472.108,559.189,639.209,749.584,884.755,1015.03,1159.78,1254.83,1443.22,,,,,,,,,,,,,,,
