model,scenario,version,region,unit,variable,type,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IIASA-WiC POP 2025,Historical Reference,1,Aruba,million,Population,ANNUAL,0.038123,0.045654,0.05386,0.058504,0.05924,0.060375,0.062138,0.064383,0.064895,0.075884,0.088122,0.093938,0.099821,0.103937,0.106664,0.1088,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Afghanistan,million,Population,ANNUAL,7.436561,7.915832,8.541748,9.457096,10.620384,12.016498,12.917355,10.50657,10.845924,16.071789,19.669913,23.856141,27.80317,33.36082,38.326031,44.166205,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Angola,million,Population,ANNUAL,4.432912,4.895364,5.313525,5.707744,5.9667,6.916596,8.182314,9.791161,11.631523,13.680908,16.126967,19.103826,22.925082,27.62432,32.899002,38.360074,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Anguilla,million,Population,ANNUAL,0.00489,0.005721,0.005738,0.005995,0.006257,0.006443,0.006551,0.006777,0.00817,0.009472,0.010878,0.012031,0.013055,0.014356,,,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Albania,million,Population,ANNUAL,1.234474,1.430773,1.682657,1.97945,2.292301,2.61791,2.915703,3.15281,3.290062,3.28996,3.195713,3.047469,2.920897,2.883156,2.87213,2.793087,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Andorra,million,Population,ANNUAL,0.005948,0.005832,0.009062,0.01312,0.019141,0.026819,0.034908,0.043032,0.052616,0.061983,0.06588,0.078424,0.072717,0.071722,,,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,United Arab Emirates,million,Population,ANNUAL,0.072048,0.098947,0.129741,0.169496,0.275244,0.517455,0.961141,1.343826,1.845986,2.381492,3.186118,4.083254,8.433991,8.877288,9.247548,9.79243,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Argentina,million,Population,ANNUAL,16.849682,18.5373,20.187607,21.880234,23.652997,25.669772,27.804417,30.058262,32.402162,34.721109,36.864,38.867884,40.892778,43.042287,44.908443,46.045355,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Armenia,million,Population,ANNUAL,1.366081,1.578846,1.870776,2.202927,2.505973,2.798622,3.119069,3.287069,3.525783,3.333873,3.187692,3.056449,2.955608,2.884958,2.812494,2.762253,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,American Samoa,million,Population,ANNUAL,0.018717,0.019795,0.019859,0.023018,0.026792,0.029263,0.032353,0.038898,0.047184,0.052853,0.058086,0.057449,0.0551,0.051805,,,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Antigua and Barbuda,million,Population,ANNUAL,0.044948,0.04977,0.05482,0.059162,0.064296,0.064101,0.064782,0.065212,0.063473,0.06771,0.074423,0.07938,0.085163,0.089595,0.092375,0.095485,,,,,,,,,,,,,,,
