scenario,Region_Group,Year,Final_Growth_Rate,Final_Growth_Rate_Pct
SSP1,01_KOR,2019,0.003484807558033598,0.3484807558033598
SSP1,01_KOR,2020,0.001379643496117966,0.1379643496117966
SSP1,01_KOR,2021,-0.0012867445880863082,-0.12867445880863082
SSP1,01_KOR,2022,-0.001873109204236889,-0.1873109204236889
SSP1,01_KOR,2023,0.0007750727470121621,0.07750727470121621
SSP1,01_KOR,2024,0.0007434549002440782,0.07434549002440782
SSP1,01_KOR,2025,-0.0016426909621881647,-0.16426909621881647
SSP1,01_KOR,2026,-0.0015021024485205592,-0.15021024485205592
SSP1,01_KOR,2027,-0.0015595566401946925,-0.15595566401946925
SSP1,01_KOR,2028,-0.001640227992309673,-0.1640227992309673
SSP1,01_KOR,2029,-0.0017442789807330383,-0.17442789807330383
SSP1,01_KOR,2030,-0.0018718926540789438,-0.18718926540789438
SSP1,01_KOR,2031,-0.0020168314768954643,-0.20168314768954643
SSP1,01_KOR,2032,-0.00216865212931161,-0.216865212931161
SSP1,01_KOR,2033,-0.0023286217639835183,-0.23286217639835183
SSP1,01_KOR,2034,-0.002496882855633875,-0.2496882855633875
SSP1,01_KOR,2035,-0.0026735916744153876,-0.26735916744153876
SSP1,01_KOR,2036,-0.0029224133244646344,-0.29224133244646344
SSP1,01_KOR,2037,-0.0032041820048103187,-0.32041820048103187
SSP1,01_KOR,2038,-0.003435500717539397,-0.3435500717539397
SSP1,01_KOR,2039,-0.0036158795752344597,-0.36158795752344597
SSP1,01_KOR,2040,-0.0037447101491965284,-0.37447101491965284
SSP1,01_KOR,2041,-0.0039333151224454355,-0.39333151224454355
SSP1,01_KOR,2042,-0.004179020705812553,-0.4179020705812553
SSP1,01_KOR,2043,-0.00436810500310425,-0.436810500310425
SSP1,01_KOR,2044,-0.004499714355561735,-0.44997143555617347
SSP1,01_KOR,2045,-0.004572882204781359,-0.4572882204781359
SSP1,01_KOR,2046,-0.004654337853077339,-0.46543378530773394
SSP1,01_KOR,2047,-0.004782582284199588,-0.4782582284199588
SSP1,01_KOR,2048,-0.004909365758235307,-0.4909365758235307
SSP1,01_KOR,2049,-0.005034691856787288,-0.5034691856787288
SSP1,01_KOR,2050,-0.005158561689631247,-0.5158561689631247
SSP1,02_CHN,2019,0.003574141941435016,0.3574141941435016
SSP1,02_CHN,2020,0.00235159383881145,0.235159383881145
SSP1,02_CHN,2021,0.0008403467972573075,0.08403467972573075
SSP1,02_CHN,2022,-0.00017749315013781963,-0.017749315013781963
SSP1,02_CHN,2023,-0.0008981902417652954,-0.08981902417652954
SSP1,02_CHN,2024,-0.0012318031405127439,-0.12318031405127439
SSP1,02_CHN,2025,7.408830608279793e-05,0.007408830608279793
SSP1,02_CHN,2026,-0.0003691823635691982,-0.03691823635691982
SSP1,02_CHN,2027,-0.0009740856680829912,-0.09740856680829912
SSP1,02_CHN,2028,-0.0013793905805090656,-0.13793905805090656
SSP1,02_CHN,2029,-0.0015849304796710095,-0.15849304796710095
SSP1,02_CHN,2030,-0.0015898056377304792,-0.15898056377304792
SSP1,02_CHN,2031,-0.001702593818953102,-0.1702593818953102
SSP1,02_CHN,2032,-0.002006632250302176,-0.2006632250302176
SSP1,02_CHN,2033,-0.0022339037726533117,-0.22339037726533117
SSP1,02_CHN,2034,-0.002383962879656587,-0.2383962879656587
SSP1,02_CHN,2035,-0.0024561969186439603,-0.24561969186439603
SSP1,02_CHN,2036,-0.0025556430938170616,-0.25556430938170616
SSP1,02_CHN,2037,-0.00272775983213569,-0.272775983213569
SSP1,02_CHN,2038,-0.0028896948282729484,-0.28896948282729484
SSP1,02_CHN,2039,-0.0030414099568266684,-0.30414099568266684
SSP1,02_CHN,2040,-0.0031828498462086463,-0.31828498462086463
SSP1,02_CHN,2041,-0.003336851826280296,-0.3336851826280296
SSP1,02_CHN,2042,-0.0035194888266576463,-0.35194888266576463
