"Country or Area","Year","Item","Value"
"Democratic People's Republic of Korea","2024","Gross Domestic Product (GDP)","16901308727.1486"
"Democratic People's Republic of Korea","2023","Gross Domestic Product (GDP)","16297778736.4092"
"Democratic People's Republic of Korea","2022","Gross Domestic Product (GDP)","15814497524.1222"
"Democratic People's Republic of Korea","2021","Gross Domestic Product (GDP)","15838593001.7883"
"Democratic People's Republic of Korea","2020","Gross Domestic Product (GDP)","15847371619.8307"
"Democratic People's Republic of Korea","2019","Gross Domestic Product (GDP)","16599729582.4911"
"Democratic People's Republic of Korea","2018","Gross Domestic Product (GDP)","16541285689.8151"
"Democratic People's Republic of Korea","2017","Gross Domestic Product (GDP)","17257084703.2183"
"Democratic People's Republic of Korea","2016","Gross Domestic Product (GDP)","17879746641.7503"
"Democratic People's Republic of Korea","2015","Gross Domestic Product (GDP)","17213819077.7478"
"Democratic People's Republic of Korea","2014","Gross Domestic Product (GDP)","17412750187.8513"
"Democratic People's Republic of Korea","2013","Gross Domestic Product (GDP)","17232981009.7757"
"Democratic People's Republic of Korea","2012","Gross Domestic Product (GDP)","17050236689.6211"
"Democratic People's Republic of Korea","2011","Gross Domestic Product (GDP)","16830025749.7391"
"Democratic People's Republic of Korea","2010","Gross Domestic Product (GDP)","16696951174.4482"
"Democratic People's Republic of Korea","2009","Gross Domestic Product (GDP)","16776189313.6792"
"Democratic People's Republic of Korea","2008","Gross Domestic Product (GDP)","16930027534.6385"
"Democratic People's Republic of Korea","2007","Gross Domestic Product (GDP)","16421238213.2387"
"Democratic People's Republic of Korea","2006","Gross Domestic Product (GDP)","16618439477.9502"
"Democratic People's Republic of Korea","2005","Gross Domestic Product (GDP)","16790662288.3369"
"Democratic People's Republic of Korea","2004","Gross Domestic Product (GDP)","16182070910.0499"
"Democratic People's Republic of Korea","2003","Gross Domestic Product (GDP)","15852936467.0992"
"Democratic People's Republic of Korea","2002","Gross Domestic Product (GDP)","15569847318.0481"
"Democratic People's Republic of Korea","2001","Gross Domestic Product (GDP)","15385051460.1776"
"Democratic People's Republic of Korea","2000","Gross Domestic Product (GDP)","14828093396.88"
"Democratic People's Republic of Korea","1999","Gross Domestic Product (GDP)","14767239847.0763"
"Democratic People's Republic of Korea","1998","Gross Domestic Product (GDP)","13921101691.7095"
"Democratic People's Republic of Korea","1997","Gross Domestic Product (GDP)","14048117411.3811"
"Democratic People's Republic of Korea","1996","Gross Domestic Product (GDP)","15022053609.3538"
"Democratic People's Republic of Korea","1995","Gross Domestic Product (GDP)","15543136577.1726"
"Democratic People's Republic of Korea","1994","Gross Domestic Product (GDP)","16254156382.2735"
"Democratic People's Republic of Korea","1993","Gross Domestic Product (GDP)","16604637065.8245"
"Democratic People's Republic of Korea","1992","Gross Domestic Product (GDP)","17383216046.0584"
"Democratic People's Republic of Korea","1991","Gross Domestic Product (GDP)","18708527010.9678"
"Democratic People's Republic of Korea","1990","Gross Domestic Product (GDP)","19573105635.9632"
"Democratic People's Republic of Korea","1989","Gross Domestic Product (GDP)","20452565972.7989"
"Democratic People's Republic of Korea","1988","Gross Domestic Product (GDP)","20170183405.1237"
"Democratic People's Republic of Korea","1987","Gross Domestic Product (GDP)","19891699610.5768"
"Democratic People's Republic of Korea","1986","Gross Domestic Product (GDP)","19617060759.9377"
"Democratic People's Republic of Korea","1985","Gross Domestic Product (GDP)","19346213767.1975"
"Democratic People's Republic of Korea","1984","Gross Domestic Product (GDP)","18655943844.9353"
"Democratic People's Republic of Korea","1983","Gross Domestic Product (GDP)","17990302646.9946"
"Democratic People's Republic of Korea","1982","Gross Domestic Product (GDP)","17348411424.2943"
"Democratic People's Republic of Korea","1981","Gross Domestic Product (GDP)","16729422781.3865"
"Democratic People's Republic of Korea","1980","Gross Domestic Product (GDP)","16132519557.7508"
"Democratic People's Republic of Korea","1979","Gross Domestic Product (GDP)","15497136943.0811"
"Democratic People's Republic of Korea","1978","Gross Domestic Product (GDP)","14886779003.9268"
"Democratic People's Republic of Korea","1977","Gross Domestic Product (GDP)","14300460138.2551"
"Democratic People's Republic of Korea","1976","Gross Domestic Product (GDP)","13737233562.2003"
"Democratic People's Republic of Korea","1975","Gross Domestic Product (GDP)","13196189781.1784"
"Democratic People's Republic of Korea","1974","Gross Domestic Product (GDP)","11953070453.9603"
"Democratic People's Republic of Korea","1973","Gross Domestic Product (GDP)","10827056570.6148"
"Democratic People's Republic of Korea","1972","Gross Domestic Product (GDP)","9807116458.898"
"Democratic People's Republic of Korea","1971","Gross Domestic Product (GDP)","8883257662.03988"
"Democratic People's Republic of Korea","1970","Gross Domestic Product (GDP)","8046429041.70422"

